Date,Open,High,Low,Close,Adj Close,Volume
19-03-2019,844,847,826.549988,837,811.172058,39378
20-03-2019,830.5,851,830.049988,837.75,811.898926,25939
22-03-2019,849.950012,849.950012,831.049988,843.049988,817.035278,11156
25-03-2019,827,838.950012,812.200012,820,794.696655,21401
26-03-2019,819.25,827.900024,807.599976,820.25,794.938904,9780
27-03-2019,817,842.950012,814.200012,838.25,812.383423,31256
28-03-2019,829.599976,836.900024,821,826.849976,801.335205,41712
01-04-2019,873,885,842.5,851.5,825.224609,73721
02-04-2019,851,874.849976,844.549988,859.900024,833.365417,44511
03-04-2019,855,865.950012,827.25,838.400024,812.528931,20142
04-04-2019,826.849976,860,826.849976,851.299988,825.030701,125895
05-04-2019,859.700012,864.5,853,860,833.46228,260379
08-04-2019,864.099976,874,861,866.650024,839.907166,29019
09-04-2019,860,872,848,865,838.308044,15768
10-04-2019,860.150024,874.200012,850.299988,870.099976,843.25061,14165
11-04-2019,867.900024,889.200012,864.900024,873.950012,846.981812,267665
12-04-2019,880,887.400024,874,875.049988,848.047913,16255
15-04-2019,870,898.549988,870,886.150024,858.805359,46912
16-04-2019,882.150024,901.200012,880,885.849976,858.514648,41539
18-04-2019,880,891,877,884,856.721741,341313
22-04-2019,879.299988,883.450012,862.25,869.950012,843.105286,30009
23-04-2019,869,881,851.349976,868.700012,841.89386,99689
24-04-2019,860,890,841.150024,876.299988,849.259399,49949
25-04-2019,875,924,875,905.349976,877.412903,599372
26-04-2019,907,918.950012,876.599976,892.400024,864.862549,176323
30-04-2019,892,914,872.549988,903.349976,875.474609,94873
02-05-2019,895,912.299988,885.549988,904.400024,876.49231,76880
03-05-2019,900,904.049988,870,872.200012,845.285828,90256
06-05-2019,861,869.400024,841.599976,849.75,823.528625,34090
07-05-2019,858.049988,861.799988,839,845.650024,819.555115,54491
08-05-2019,838.450012,852.700012,824.150024,846.299988,820.184998,69225
09-05-2019,840,847.950012,831.150024,840.349976,814.418701,12563
10-05-2019,833.799988,856,833.799988,844.349976,818.295227,29289
13-05-2019,850,860,830,839.349976,813.449524,24740
14-05-2019,840,852.900024,826,845.700012,819.603638,23209
15-05-2019,858.349976,860,847,851.400024,825.127747,3647
16-05-2019,853.299988,855.849976,843.950012,845.349976,819.264282,6295
17-05-2019,847.400024,853.150024,827,840.25,814.321777,21188
20-05-2019,893.25,919,870.349976,910.849976,882.743103,153055
21-05-2019,918,995,902.950012,947.950012,918.698303,194254
22-05-2019,948,989.900024,935,964.450012,934.689209,70824
23-05-2019,995,1019.900024,966.25,989.950012,959.402283,118552
24-05-2019,988,1046.050049,987.950012,1039.050049,1006.987183,175269
27-05-2019,1049.949951,1074.75,1013.799988,1029.800049,998.022644,92995
28-05-2019,1035,1075,1035,1068.150024,1035.189209,302655
29-05-2019,1070,1071.050049,1029,1035.050049,1003.110657,32843
30-05-2019,1024.599976,1050,1010,1021.849976,990.317871,175570
31-05-2019,1023.049988,1059,1023.049988,1043,1010.815369,72005
03-06-2019,1046,1068.5,1040,1049.599976,1017.211487,51945
04-06-2019,1041,1055,1035,1037.300049,1005.29126,93175
06-06-2019,1049.650024,1049.650024,1004,1013.950012,982.661743,442273
07-06-2019,1023.950012,1026,1003.549988,1023.200012,991.626343,16774
10-06-2019,1023.200012,1025.900024,1014.099976,1024.599976,992.983093,17978
11-06-2019,1026,1038.800049,1012.700012,1029.050049,997.295837,25136
12-06-2019,1022.200012,1048.900024,1020,1031.400024,999.573303,69874
13-06-2019,1035.650024,1035.650024,1014,1022.5,990.947937,128088
14-06-2019,1017,1029,1000.5,1011.5,980.287354,30768
17-06-2019,1009.400024,1010,976.099976,986.849976,956.39801,95363
18-06-2019,986.849976,1024.900024,972.049988,1002.099976,971.177429,59661
19-06-2019,1002,1009,990.549988,996.650024,965.89563,102478
20-06-2019,986.099976,1019.450012,986.099976,1007.049988,975.974609,33208
21-06-2019,1019,1019.049988,1000.549988,1010.400024,979.221313,18831
24-06-2019,1019,1023.900024,997.599976,1009.299988,978.155212,105017
25-06-2019,1001,1026.949951,1000.5,1006.349976,975.296265,75992
26-06-2019,1008,1034.849976,1008,1018.150024,986.732117,47567
27-06-2019,1016.049988,1028.900024,1006.799988,1010.650024,979.463623,20374
28-06-2019,1018.900024,1018.900024,994.099976,1001.75,970.838257,30573
01-07-2019,1001.75,1024.849976,1000.549988,1009.700012,978.542908,61248
02-07-2019,1006.450012,1010,1001,1007.150024,976.071594,5913
03-07-2019,1009.900024,1021.900024,990,996.700012,965.944031,123095
04-07-2019,1013.900024,1013.900024,991.549988,996.349976,965.604797,23996
05-07-2019,1006,1018.799988,984.049988,1000.5,969.626831,61717
08-07-2019,1001,1001,978.099976,986.450012,956.010376,92745
09-07-2019,987.5,1001.450012,966,974.650024,944.574524,95152
10-07-2019,974.650024,992.400024,974.650024,980.349976,950.098572,10220
11-07-2019,981.900024,988.349976,966.099976,977.700012,947.530396,80074
12-07-2019,977,986.950012,962.549988,971.400024,941.424805,53719
15-07-2019,973,987.200012,964.150024,967.75,937.887329,6972
16-07-2019,972.549988,988,962.5,968.599976,938.711121,38218
